,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars
10,,,,/us/eq21-run-2.0-bounce-sport-running-lace-shoes/GV9488.html,,"Upgrade your running shoes. These juniors' lace-up sneakers are inspired by the adidas Ultraboost 21, a shoe crafted with long-haul comfort in mind. They're made with a layered mesh upper that's strong yet flexible. The springy Bounce midsole combines with a rubber outsole for a comfortable, stable feel. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Sandwich mesh upper; Bounce midsole; Textile lining; Non-marking rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Pulse Magenta; Product code: GV9488,,,
11,,,,/us/five-ten-aleon-climbing-shoes/BC0861.html,,"Send your latest project in these climbing shoes. Designed with climbing legend Fred Nicole, these medium-stiff shoes are built for bouldering and sport routes. They feature a moderate downturn for precise edging and enhanced control. The soft foot-hugging upper delivers a sock-like fit for enhanced sensitivity on tough holds.",Snug fit; Hook-and-loop closure; adidas Primeknit textile upper; Textile lining; Stealth® C4 rubber outsole for unbeatable grip; Medium-stiff midsole; Sock-like construction hugs the foot; Ergonomic heel design wraps heel for reduced dead space and improved hooking power; Concave toe box for steep climbing; Imported; Product color: Active Red / Core Black / Grey One; Product code: BC0861,,14,4.1
12,,,,/us/five-ten-niad-moccasym-climbing-shoes/FW2853.html,,"Boulder problem or crack climb, the adidas Five Ten NIAD Moccasym Climbing Shoes deliver comfort and simplicity with an easy-on, easy-off design. This version maintains the original low-profile fit and feel. Added rubber across the toe increases your options. A full leather upper conforms to your foot. Pull them on for gym training and outdoor routes alike.",Snug fit; Elastic slipper closure; Leather upper; Stealth® C4 rubber outsole; Imported; Product color: Power Red / Core Black / Cloud White; Product code: FW2853,,19,3.0
13,,,,/us/the-gravel-cycling-shoes/GW5330.html,,"The Gravel Shoe is the latest addition to the adidas Cycling family. Designed from the ground up to bring road performance and city styling to new territory, as you explore off-road. Featuring a recessed 2-bolt SPD cleat compatible outsole with TPU pods allow for easy walking off the bike and a lightweight, stiff construction to ensure power transfer to adventure further. Reinforced ripstop upper material is used for added protection and an internal sock helps to keep debris out of the shoe for all day comfort.",Regular fit; Lace closure; Reinforced synthetic upper with 3-Stripes; Roomy forefoot; Two-bolt cleat compatibility; Sock-like fit with snug integrated cuff; Synthetic outsole with TPU walking pods; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Grey Five; Product code: GW5330, Core Black / Cloud White / Grey Five,117,4.4
14,,,,/us/adifom-sltn-shoes/HP6481.html,,"When comfort is your number-one priority, these adidas shoes deliver. They wrap your feet in it, from the pockets of foam in the lining to the foam upper. They look good too. Design from the archives combines with modern influences to keep things simple, sleek and super versatile. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Foam upper; Foam pockets in lining; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Dash Grey; Product code: HP6481, Legend Ink / Legend Ink / Solar Red,34,4.6
15,,,,/us/stan-smith-shoes/GY4260.html,,"Happy Stan, happy kids. For over 50 years, the adidas Stan Smith shoes have solidified their place as an icon. Now the timeless white silhouette gets reimagined for kids. The coordinating heel tab and a dedicated signoff add bright updates.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic leather upper; OrthoLite® sockliner; Textile lining; Recycled rubber outsole made with 10% recycled material derived from production waste; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Almost Blue / Core Black; Product code: GY4260, Cloud White / Almost Blue / Core Black,2,4.5
16,,,,/us/codechaos-22-spikeless-golf-shoes/GX3931.html,,"It's time to turn up your game. Take the lead in these adidas CODECHAOS 22 golf shoes. With a design that amplifies everything a spikeless shoe can be, they set you up to shave strokes with style. From the stance stability of the wraparound outsole to the swing-boosting traction of Twist Grip and the energized feel of full-length BOOST, they maximize everything you need on the course. Tour-level performance has never looked like this before.",Regular fit; Lace closure; INSITE® sockliner; BOOST midsole; Rubber wrapping spikeless outsole with Twist Grip; Upper contains a minimum of 50% recycled content; Imported; Product color: Grey Three / Core Black / Beam Green; Product code: GX3931, Bliss / Brown / Light Purple,77,4.7
17,,,,/us/sl20.3-shoes/GX6673.html,,"Your run is a sum of all the challenges you've overcome and all the goals you're chasing. Strive for progress every time you lace into these adidas running shoes. The upper is zoned for flex and support to give a secure feel through speed work and endurance training. Snappy Lightstrike cushioning helps you push the pace.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Textile upper; Lightstrike cushioning; Textile lining; Midsole drop: 8 mm (heel: 27 mm / forefoot: 19 mm); Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Pulse Lilac / Bliss Orange / Beam Orange; Product code: GX6673, Pulse Lilac / Bliss Orange / Beam Orange,17,4.5
18,,,,/us/genie-stan-smith-shoes/GW4530.html,,"For over 50 years, the adidas Stan Smith sneaker has solidified its place as a style icon. Now this juniors' version gets a magical update with these shoes inspired by Genie, from Disney's ""Aladdin."" Make a statement with a bright blue backdrop that will add a pop to any outfit. The synthetic leather upper has a heat-reactive heel patch — when it warms up, a different graphic appears. The heel patches are a reminder that ""It's not easy being green,"" so it's important to do our best for the planet. A snug fit with an OrthoLite® sockliner ensures that comfort isn't sacrificed for style.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic leather upper; OrthoLite® sockliner; Synthetic lining; ©Disney; Recycled rubber outsole made with 10% recycled material derived from production waste; Upper contains a minimum of 50% recycled content; Imported; Product color: Pantone / Cloud White / Core Black; Product code: GW4530, Pantone / Cloud White / Core Black,,
19,,,,/us/barricade-tennis-shoes/GY1447.html,,"Show your colors. Worn by adidas athletes at the southern hemisphere's premier tournament, these tennis shoes are part of a vibrant collection highlighting the consequences of climate change. Their intuitive lacing system combines with gap-filling heel Sensepods to help you feel at one with your footwear. Underneath, a cushioned Bounce midsole and TPU midfoot shank add comfort and stability.",Adaptive lacing system; Textile upper; Torsion System; Geofit Sensepods; Bounce midsole; Adiwear outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Carbon / Signal Green / Pulse Lilac; Product code: GY1447, Core Black / Silver Metallic / Solar Red,240,4.0
20,,,,/us/fortarun-sport-running-lace-shoes/GZ4411.html,,"Flexible, sleek and comfy. These adidas running shoes are inspired by the Supernova, popular for its all-around sportiness and cushioned ride. These sneakers have a warm mesh upper so kids can wear them well into the winter months. And the Cloudfoam EVA midsole feels light and springy to support them through their favorite sports. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Winterized mesh upper; Cloudfoam EVA midsole; Textile lining; Winterized rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Royal Blue / Matt Purple Met. / Pulse Lilac; Product code: GZ4411, Impact Orange / Cloud White / Legend Ink,,
21,,,,/us/superstar-shoes/GY9329.html,,"If you love the look of these juniors' adidas Superstar shoes, you're in good company. Everyone from rappers to fashionistas has worn this iconic style over the past fifty years. It's forever being reinvented. Always pushing boundaries. So lace in and make the legendary shoes your very own. A molded sockliner keeps your feet comfortable while you show off the famous shell toe.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Synthetic leather upper; Textile lining; Molded sockliner; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Semi Impact Orange / Cloud White; Product code: GY9329,,,
22,,,,/us/astir-thebe-magugu-shoes/GY9557.html,,"A call and celebration for optimism in 2022, these adidas Astir shoes are all about expression. From their bold silhouette to the vibrant mix of colors, every detail is designed for playfulness. The comfortable EVA midsole, durable Adiwear outsole and stabilizing Torsion System keep you grounded in that play.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Women's-specific fit; Lace closure; Textile upper; Synthetic lining; Torsion System; EVA midsole; Adiwear outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Pulse Lilac / Silver Metallic; Product code: GY9557,,1,5.0
23,,,,/us/juniors-codechaos-22-boa-golf-shoes/GX3945.html,,"These adidas golf shoes are made for performance on the course. They feature full-length Bounce cushioning for comfort and flexibility. The mesh upper has an added film to provide waterproof protection and keep the shoe clean. The BOA® Fit System lets you dial in a precise fit, and the six-cleat Adiwear outsole delivers solid grip on greens and fairways.",Regular fit; Micro-adjustable dial-based BOA® Fit System; Water-resistant film over textile upper; Slow resilient sockliner; Bounce midsole; Six-cleat Adiwear outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Silver Metallic / Grey Two; Product code: GX3945, Cloud White / Core Black / Beam Yellow,3,3.7
24,,,,/us/adilette-shower-slides/GZ5926.html,,"From the pool deck to the shower to the couch, these slides are made for the work-hard-rest-hard lifestyle. The slip-on construction gives you a snug fit that's easy to kick on and off as needed. Lightweight cushioning keeps your feet cradled in all-day comfort. The adidas script logo adds an extra touch of class to the iconic Adilette look.",Regular fit; Slip-on construction; Synthetic upper; Textile lining; Contoured footbed; Cloudfoam midsole; Synthetic outsole; Imported; Product color: Acid Red / Flash Orange / Core Black; Product code: GZ5926, Clear Pink / Clear Pink / Super Pop,590,4.7
25,,,,/us/genie-stan-smith-shoes/GW4536.html,,"For over 50 years, the adidas Stan Smith sneaker has solidified its place as a style icon. Now this kids' version gets a magical update with these shoes inspired by Genie, from Disney's ""Aladdin."" Make a statement with a bright blue backdrop that will add a pop to any outfit. The synthetic leather upper has a heat-reactive heel patch — when it warms up, a different graphic appears. The heel patches are a reminder that ""It's not easy being green,"" so it's important to do our best for the planet. A snug fit with an OrthoLite® sockliner ensures that comfort isn't sacrificed for style.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Hook-and-loop straps; Synthetic leather upper; OrthoLite® sockliner; Textile lining; ©Disney; Recycled rubber outsole made with 10% recycled material derived from production waste; Upper contains a minimum of 50% recycled content; Imported; Product color: Pantone / Cloud White / Core Black; Product code: GW4536, Pantone / Cloud White / Core Black,,
26,,,,/us/adidas-by-stella-mccartney-solarglide-running-shoes/HR1923.html,,"Log your miles on a running shoe designed to impress with the adidas by Stella McCartney Solarglide Running Shoes. Mixing design and function, these shoes combine the best of both worlds.

The lightweight knit upper, made in part with recycled materials, will keep your feet snug on any run around 10k. The shoes get their signature look thanks to the striking speed-inspired cage. The cage is built to give you extra support with every step. 

Thanks to the flexible outsole and BOOST midsole, you'll feel energized on a run or throughout your day. They look as stylish on a run as under a pair of jeans.",Regular fit; Lace closure; adidas PRIMEKNIT textile upper; Sock-like fit; BOOST midsole and Linear Energy Push system; Bio-based EVA cage; adidas by Stella McCartney logo; Continental™ Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / App Signal Orange; Product code: HR1923, Core Black / Core Black / Core Black,7,4.4
27,,,,/us/five-ten-freerider-mountain-bike-shoes/FX4449.html,,"Often copied. Never duplicated. The adidas Five Ten Freerider Mountain Bike Shoes deliver legendary flat pedal control to support everything you do on your bike. Just the right blend of casual style makes for easy post-ride transitions. Stealth® S1™ rubber and a Dotty tread keep your feet firmly planted on the pedals. A mix leather and mesh adds durability to keep you riding for seasons to come.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",Lace closure; Leather upper; Molded cupsole; Stealth® S1™ Dotty rubber outsole; Imported; Product color: Core Black / Acid Mint / Core Black; Product code: FX4449, Core Black / Acid Mint / Core Black,17,4.4
28,,,,/us/nizza-shoes/GX6310.html,,"A beloved basketball favorite, the iconoclastic Nizza 2 gets a striking update this season. The classic court-inspired design sees a suede upper set atop a chunky outsole with contrasting details, inspired by basketball icons of the past. The clean colorway and luxe touches — like the tonal toe bumper and glossy eyelets — take this sought-after silhouette to the next level.",Regular fit; Lace closure; Suede upper; Leather lining; Rubber outsole; Imported; Product color: Chalk White / Off White / Off White; Product code: GX6310, Core Black / Core Black / Off White,5,4.8
29,,,,/us/adilette-slides/GW1444.html,,"There's no bad time to shimmer and shine. Which is why these juniors' adidas slides light up your style with a sequined bandage upper. If you feel like rocking some color, just flip them over to reveal a rainbow effect. At home or at school, the contoured footbed keeps your feet comfortable.",Slip-on; Polyurethane bandage upper; Quick-drying; EVA footbed; Textile lining; Imported; Product color: Core Black / Silver Metallic / Supplier Colour; Product code: GW1444,,,
30,,,,/us/hyperturf-shoes/GW6755.html,,"The outdoors isn't the only place for exploration. Just wandering the city is its own adventure. These adidas Hyperturf Shoes have you set for the streets with inspiration from the adidas outdoor archives. Durable materials all come together on the upper — ripstop, nubuck, suede and mesh. Underfoot you have a power combo of Adiprene+, soft EVA cushioning and FORMOTION for nonstop support.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.","Regular fit; Lace closure; Ripstop, nubuck, suede and mesh upper; Textile lining; Adiprene+ cushioning; FORMOTION; EVA midsole and rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Beam Orange / Core Black / Ecru Tint; Product code: GW6755", Grey Five / Grey One / Beam Orange,,
31,,,,/us/adizero-ubersonic-4-tennis-shoes/GW3819.html,,"Speed buys time. Time earns points. That's why these adidas Adizero Ubersonic 4 tennis shoes were designed to get you to the ball faster. Their foot-hugging stretch-woven upper and external heel counter keep you strapped in for explosive sprints. Internal reinforcements add extra stability through slides and sidesteps. Underneath, a low-profile Lightstrike midsole and grippy Adiwear outsole combine to ensure you're always first to react on hard courts.",Lace closure; Mesh upper with inner knit sock; Adituff toe; Lightstrike cushioning; Adiwear outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Almost Yellow / Impact Yellow / Almost Yellow; Product code: GW3819, Cloud White / Silver Metallic / Bright Cyan,82,3.6
32,,,,/us/superstar-shoes/HQ9968.html,,"Make a statement that's all your own in these juniors' adidas Superstar Shoes. The classic 3-Stripes and heel patch mix with your choice of color palette to help you stand out. Fun bonus: Peel off the upper layer to reveal a bold camouflage print. The molded sockliner cradles your foot in comfort.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; Leather upper; Textile lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Team Power Red / Royal Blue; Product code: HQ9968,,,
33,,,,/us/znchill-lightmotion-plus-lifestyle-adult-shoe/GX6853.html,,"Just another example of adidas' sneaker genius. These 3-Stripes are set on top of a LIGHTMOTION midsole for comfy cushioning. A chunky rubber outsole adds grip when you're moving between slick and rough surfaces. There's no change of shoe needed, even with a busy schedule. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Textile upper; LIGHTMOTION cushioning; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Carbon / Grey Six; Product code: GX6853, Cloud White / Cloud White / Bright Red,5,5.0
34,,,,/us/web-boost-running-shoes/GZ6456.html,,"Getting in a few miles or running to the store. These adidas shoes have all the techs to make short-distance training a breeze, and you'll want to wear them on rest days too. The upper has cutouts for airflow, acting like a harness for the stretchy inner bootie. The BOOST midsole is wrapped in 3D Stretchweb to enhance the feeling of energy return.",Regular fit; Lace closure; Textile upper; BOOST midsole; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Core Black / Cloud White; Product code: GZ6456, Cloud White / Silver Metallic / Grey One,,
35,,,,/us/five-ten-trailcross-xt-mountain-bike-shoes/GY5120.html,,"Explore more. Made for adventure riding across trails and abandoned dirt roads, these adidas Five Ten mountain bike shoes have the lightweight, cushioned feel of a trail runner for exploring off the bike. Stealth® Phantom rubber adds the pedal-gripping power to ride any trail. Neoprene cuffs seal out dirt and gravel. A breathable upper keeps feet comfortable through it all. Take the path less traveled.",Regular fit; Lace closure; Textile upper with neoprene cuffs; Drain ports for water exit; Stealth® Phantom rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Magic Lime / Burgundy / Orbit Green; Product code: GY5120,,7,4.7
36,,,,/us/y-3-hicho/HR1944.html,,"""Y-3 is a strong examination of the blend of sport and style and the tension caused by mixing tradition with all that is modern.""  — Yohji Yamamoto 

Y-3 examines sportswear through a sharp lens, informing an unconventional approach to the expected. The clean design of the Hicho Shoes rides on a thick platform, adding height and creating a subtle statement. They're crafted with a heavy tumbled leather upper.",Lace closure; Heavy tumbled leather upper; Leather lining; Synthetic midsole; Rubber platform outsole; Imported; Product color: Core White / Core White / Cream White; Product code: HR1944, Black / Black / Core White,26,4.9
37,,,,/us/adizero-ubersonic-4-tennis-shoes/HR1915.html,,Speed buys time. Time earns points. That's why these adidas Adizero Ubersonic 4 Tennis Shoes were created to get you to the ball faster. The stretch-woven upper and external heel clip strap you in for explosive sprints while internal reinforcements add lateral stability. A low-profile Lightstrike midsole and grippy Adiwear outsole help with reaction times. HEAT.RDY ensures nothing slows you down on the hottest days.,Sock-like fit; Lace closure; Woven mesh upper with internal reinforcement; Textile lining; Heel stability clip; Lightstrike cushioning; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Crystal White / Silver Metallic / Pulse Lilac; Product code: HR1915, Beam Green / Signal Green / Solar Green,31,4.5
38,,,,/us/adizero-afterburner-8-pro-tpu-cleats/FZ4220.html,,"Burn up the base paths in the adidas Adizero Afterburner. The lightest baseball cleats in the game, they offer incredible support with a Sprintskin upper. The wide lacing system gives you extra lockdown, and the Lightstrike midsole offers superlight cushioning to keep you fast on your feet.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",Lace closure; Sprintskin upper; Lightweight; Lightstrike midsole; Cleated synthetic outsole; Textile lining; Imported; Product color: Core Black / Cloud White / Silver Metallic; Product code: FZ4220, Core Black / Cloud White / Silver Metallic,14,4.2
39,,,,/us/adizero-afterburner-nwv-cleats/HP2178.html,,"When there's 90 feet between you and glory, there's no room for an inch of hesitation. Whether you plan to steal second or take the wide turn for extra bases, these adidas baseball cleats have that superlight feel to let you run free. A LIGHTLOCK upper secures your feet while the Lightstrike midsole cushions upon impact without adding weight. Now you can make that highlight-reel catch or turn on the jets to give your team the edge.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; LIGHTLOCK upper; Sock-like fit; Lightstrike midsole; Cleated synthetic outsole; Textile lining; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Royal Blue / Cloud White / Blue Rush; Product code: HP2178, Impact Orange / Beam Orange / Pulse Lilac,9,5.0
40,,,,/us/adidas-racer-tr-x-lego-shoes/GW6419.html,,"Inventive little minds will appreciate these toddlers' adidas shoes built with LEGO® studs at the heel. And when your little one kicks up their feet, they'll show off the colorful LEGO® bricks that add grip to the outsole. A soft lining provides added warmth, so they're great for outdoor play.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Elastic lace closure with hook-and-loop strap; Textile upper; Textile lining; Rubber outsole; LEGO® rubber outsole pod; Upper contains a minimum of 50% recycled content; Imported; Product color: Pulse Magenta / Maroon / Off White; Product code: GW6419, Ecru Tint / Bahia Orange / Red,2,5.0
41,,,,/us/adidas-x-lego-racer-tr-shoes/GX1993.html,,"Now they can embrace their love for building castles and spaceships in these kids' shoes from the adidas and LEGO® Brand partnership. The LEGO® brick design on the heel cap and a LEGO® rubber pod on the forefoot ensures dependable traction when they're on the go. Lightweight Cloudfoam cushioning offers all-day comfort. 

Made with a series of recycled materials, this upper features at least 50% recycled content.",Regular fit; Lace closure; Textile upper; Textile lining; Cloudfoam midsole; LEGO® studs on heel counter; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Pulse Magenta / Maroon / Off White; Product code: GX1993, Ecru Tint / Bahia Orange / Red,3,5.0
42,,,,/us/barricade-tennis-shoes/GW3817.html,,"The perfect platform for hard court domination. These adidas Barricade tennis shoes have an intuitive lacing system that locks you in by pulling down the neoprene tongue to match your foot shape. In the heel, a Geofit system fills every gap so you feel at one with your footwear. Underneath, a cushioned Bounce midsole and TPU midfoot shank add comfort and stability. Oh, and that bold adidas wordmark on the medial side isn't just for show; it's made from tough RPU for added abrasion resistance.",Adaptive lacing system; Textile upper; Torsion System; Geofit Sensepods; Bounce midsole; Adiwear outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Silver Metallic / Bright Cyan; Product code: GW3817, Beam Orange / Solar Orange / Impact Orange,86,4.1
